id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,sketch+line icons+purchase interaction+ecommerce+ecommerce shop e-commerce store+basket bag+white green clean style+checkout purchase buy add item+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+iphone+after effects ae motion+animation+checkout, 
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,app+sketch+ui+product design+minimal+ecommerce+iphone x+clothing+backpacks+ios+simple+fashion+iphone+cart+checkout+mobile+ux+ui_tags+color,music
4560454,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,checkout+ecommerce e-commerce+checkout pay card+white clean light+ecommerce+design photo photography+ux ui interaction+shop store eshop+fashion experience interior+iphone+carousel app ios iphone+purchase cart+flat gradient shadow minimal+grid typography,music
3919542,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
5285317,app+blog+cart+checkout+clothing+ecommerce+fall+fashion+ios+iphone x+minimal+mobile+sketch+ui+ux+womens,app+sketch+ui+social+womens+minimal+ecommerce+iphone x+clothing+ios+blog+simple+fashion+iphone+fall+cart+checkout+mobile+ux+ui_tags,music
5201079,app+books+branding+buy+checkout+colors+ecommerce+illustration+interface+ios+iphone+iphonex+mobile+shop design+sketch+ui+ux,app+sketch+ui+book+ecommerce+ios+buy+colors+shop design+illustration+iphone+branding+checkout+interface+books+mobile+ux+ui_tags+iphonex, 
5321328,app+books+branding+checkout+design+ecommerce+education+interface+ios+iphone+iphonex+payment+shop+sketch+ui+ux,app+shop+sketch+ecommerce+interface+ui+ios+education+books+ux+design+ui_tags+iphone+branding+iphonex+book+payment+checkout, 
3886793,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
5304193,app+books+branding+buy+checkout+colors+design+ecommerce+education+icon+interface+ios+iphone+iphonex+payment+shopping+sketch+ui+ux,app+sketch+ui+education+book+ecommerce+ios+buy+colors+shopping+icon+design+iphone+branding+payment+checkout+interface+books+ux+ui_tags+iphonex, 
5129868,app+books+branding+buy+cart+checkout+colors+ecommerce+flat+interface+ios+iphone+iphonex+product+sketch+ui+ux+vector,app+sketch+ui+flat+vector+book+ecommerce+ios+buy+colors+product+iphone+branding+cart+checkout+interface+books+ux+ui_tags+iphonex, 
4562418,adidas+cart+checkout+clay+ecommerce+fashion+iphone x+mobile+shoes+shopping+sketch+sports,sketch+sports+ecommerce+iphone x+fashion+mobile+sport+adidas+iphone+shopping+shoes+clay+cart+checkout,music
3815627,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
3874912,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
3903170,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
3827597,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
6540182,animation+app+apple+application+checkout+concept+ecommerce+interaction+interface+ios+iphone+menu+mobile+shoe app+shoes+shopping+sneaker+sneakers+sneakers app+ui,app+concept+ui+menu+animation+sneaker+application+sneakers app+ecommerce+ios+sneakers+interaction+shoes+shopping+apple+iphone+shoe app+checkout+interface+mobile+ui_tags, 
3890322,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
3321645,android delivery+animation web+dashboard interaction+flat page+gif card+invite order+ios iphone+material design+navigation menu+shipping package+store ecommerce+ux ui checkout,ios iphone+shipping package+ecommerce+ux ui checkout+store ecommerce+animation web+android delivery+invite order+dashboard interaction+navigation menu+iphone+gif card+flat page+material design+checkout, 
4614950,blackwhite+cart+checkout+ecommerce+fashion+iphone+retail+scrolling+shoe+shop+sketch,sketch+shop+ecommerce+fashion+scrolling+shoe+blackwhite+iphone+retail+cart+checkout,ecommerce+music+pink
3285981,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,checkout+ecommerce e-commerce+checkout pay card+white clean light+ecommerce+design photo photography+ux ui interaction+shop store eshop+fashion experience interior+iphone+carousel app ios iphone+purchase cart+flat gradient shadow minimal+grid typography,music
3796027,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
3823697,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout, 
6505753,app+apple+application ui+checkout+concept+ecommerce+interface+ios+iphone+menu+mobile+nike+shoes+sneaker+sneakers+sneakers app+store+typogaphy+ui+ux,app+concept+ui+application ui+menu+sneaker+sneakers app+ecommerce+ios+sneakers+store+shoes+apple+typogaphy+iphone+nike+checkout+interface+mobile+ux+ui_tags, 
3839878,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,app+add+ecommerce+buy+mobile+iphone+purchase+item+shopping+cart+checkout,music
5500745,app+clean+concept+design+ecommerce+ecommerce app+flat+interface+ios+iphone+iphone x+layout+minimal+mobile+typography+ui+user interface+ux+vector+web,app+concept+ui+flat+user interface+vector+minimal+ecommerce+ecommerce app+iphone x+ios+simple+web+clean+design+iphone+checkout+typography+interface+layout+mobile+ux+ui_tags, 
